target,train_size,train_rmse_mean,train_rmse_std,val_rmse_mean,val_rmse_std,generalization_gap
b*,6,2.3365739521640507,0.7568131889845402,5.48905117791697,1.7360678316127713,3.152477225752919
b*,11,3.1594086432998822,0.5958287868563027,5.876693770815499,2.1039317448542976,2.7172851275156167
b*,16,3.2747861865493606,0.41859775607826355,5.057537304111961,1.0149203204246617,1.7827511175626007
b*,21,2.9558785352286017,0.3583894052577836,4.123956862882522,1.1313439522351516,1.16807832765392
b*,26,2.82594302266989,0.30702274901730137,3.9241862638941307,1.3945118970408463,1.0982432412242407
b*,31,2.675675324023675,0.28406285948862925,3.934148335217082,1.4980948578520525,1.258473011193407
